pair,weight,users
chemtrails-geoengineering,19200,95
chemtrails-haarp,4357,92
geoengineering-haarp,3952,91
chemtrails-nwo,2988,85
climate-geoengineering,1854,59
haarp-nwo,1609,84
geoengineering-nwo,1558,84
geoengineering-srm,1452,78
climatechange-geoengineering,1452,66
chemtrails-srm,1433,77
chemtrail-chemtrails,1405,89
chemtrail-geoengineering,1199,89
chemtrails-manmadeclouds,1138,71
geoengineering-manmadeclouds,1138,71
haarp-srm,1129,75
chemtrails-nexrad,1097,49
chemtrail-haarp,1097,86
geoengineering-nexrad,1090,49
chemtrails-weather,1051,84
geoengineering-weather,1036,85
chemtrails-lookup,1003,79
chemtrails-uk,991,65
geoengineering-uk,991,65
geoengineering-weathermodification,986,80
chemtrails-weathermodification,986,80
geoengineering-lookup,976,79
haarp-weather,936,82
climate-climatechange,933,48
agenda21-chemtrails,899,69
haarp-lookup,855,77
chemtrails-leicester,846,44
geoengineering-leicester,843,44
chemtrails-news,835,53
haarp-nexrad,832,47
chemtrails-conspiracy,828,35
haarp-manmadeclouds,807,70
haarp-uk,781,65
agenda21-geoengineering,771,68
geoengineering-wakeup,757,73
chemtrails-wakeup,757,73
chemtrail-nwo,747,80
geoengineering-london,734,59
chemtrails-london,734,59
haarp-weathermodification,720,80
chemtrail-srm,719,75
nwo-srm,708,70
chemtrails-gmo,695,73
haarp-wakeup,689,72
geoengineering-gmo,683,73
chemtrail-uk,679,64
srm-weather,671,73
lookup-srm,666,69
climate-tech,660,10
geoengineering-tech,660,10
chemtrail-weather,657,80
nwo-weather,649,75
chemtrails-climate,648,57
gmo-haarp,643,72
geoengineering-science,639,32
haarp-london,635,59
chemtrail-lookup,629,77
climate-science,626,28
chemtrail-london,611,59
chemtrails-england,606,50
england-geoengineering,606,50
srm-weathermodification,602,68
climatechange-science,600,31
lookup-nwo,586,73
lookup-wakeup,582,67
news-nwo,574,53
science-tech,573,8
chemtrails-climatechange,572,65
haarp-leicester,567,43
chemtrail-manmadeclouds,566,70
manmadeclouds-srm,566,63
chemtrail-weathermodification,563,77
agenda21-haarp,554,68
uk-weather,553,62
lookup-manmadeclouds,551,66
lookup-weather,546,70
climatechange-tech,544,10
london-uk,533,52
srm-wakeup,529,62
chemtrail-wakeup,525,73
manmadeclouds-nwo,524,67
nwo-weathermodification,520,78
weather-weathermodification,518,73
chemtrails-monsanto,518,69
geoengineering-monsanto,516,68
srm-uk,515,57
conspiracy-nwo,512,33
nwo-wakeup,509,67
chemtrails-usa,507,50
nwo-uk,505,61
england-haarp,496,50
gmo-nwo,496,69
lookup-nexrad,482,47
chemtrails-ケムトレイル,471,34
haarp-monsanto,470,67
geoengineering-news,468,52
london-srm,468,52
lookup-weathermodification,466,71
london-nwo,463,55
manmadeclouds-uk,458,55
climate-haarp,457,57
belgium-chemtrails,453,16
london-weather,451,54
london-lookup,450,55
climate-weather,446,57
