users,pair,weight
true_solidarity,chemtrails-sun,2
true_solidarity,chemtrails-sunset,3
true_solidarity,chemtrails-geoengineering,137
true_solidarity,chemtrails-climatechange,14
true_solidarity,chemtrails-haarp,63
true_solidarity,chemtrails-nexrad,1
true_solidarity,chemtrails-uk,3
true_solidarity,chemtrails-weathermanipulation,1
true_solidarity,chemtrails-weather,5
true_solidarity,chemtrails-nasa,2
true_solidarity,chemtrails-nwo,15
true_solidarity,chemtrails-obama,2
true_solidarity,chemtrails-drought,1
true_solidarity,chemtrails-poison,1
true_solidarity,chemtrails-news,1
true_solidarity,chemtrails-monsanto,1
true_solidarity,chemtrails-gmo,3
true_solidarity,chemtrails-infowars,4
true_solidarity,chemtrails-snow,6
true_solidarity,chemtrails-fluoride,5
true_solidarity,chemtrails-snowden,1
true_solidarity,chemtrails-climate,11
true_solidarity,chemtrails-globalwarming,2
true_solidarity,chemtrails-weathermodification,5
true_solidarity,chemtrails-clouds,1
true_solidarity,chemtrails-energy,4
true_solidarity,chemtrails-cia,4
true_solidarity,chemtrails-usa,1
true_solidarity,chemtrails-conspiracy,1
true_solidarity,chemtrails-manmadeclouds,3
true_solidarity,chemtrails-green,1
true_solidarity,chemtrails-truth,2
true_solidarity,chemtrails-nsa,3
true_solidarity,chemtrails-revolution,2
true_solidarity,chemtrails-government,1
true_solidarity,chemtrails-fracking,4
true_solidarity,chemtrails-lookup,1
true_solidarity,chemtrails-science,5
true_solidarity,chemtrails-tech,5
true_solidarity,chemtrails-srm,13
true_solidarity,chemtrails-solar,1
true_solidarity,chemtrails-contrails,9
true_solidarity,chemtrails-usaf,1
true_solidarity,chemtrails-illuminati,1
true_solidarity,chemtrails-greatlakes,2
true_solidarity,chemtrails-depopulation,1
true_solidarity,chemtrails-fukushima,1
true_solidarity,sun-sunset,2
true_solidarity,sun-uk,2
true_solidarity,sun-weathermanipulation,1
true_solidarity,sun-weather,2
true_solidarity,sun-weathermodification,2
true_solidarity,sun-usa,1
true_solidarity,sun-truth,2
true_solidarity,sun-tech,2
true_solidarity,sun-usaf,1
true_solidarity,sunset-uk,3
true_solidarity,sunset-weathermanipulation,1
true_solidarity,sunset-weather,3
true_solidarity,sunset-weathermodification,3
true_solidarity,sunset-usa,1
true_solidarity,sunset-truth,2
true_solidarity,sunset-tech,3
true_solidarity,sunset-usaf,1
true_solidarity,geoengineering-sun,2
true_solidarity,geoengineering-sunset,3
true_solidarity,geoengineering-haarp,63
true_solidarity,geoengineering-nexrad,1
true_solidarity,geoengineering-uk,3
true_solidarity,geoengineering-weathermanipulation,1
true_solidarity,geoengineering-weather,5
true_solidarity,geoengineering-nasa,2
true_solidarity,geoengineering-nwo,15
true_solidarity,geoengineering-obama,2
true_solidarity,geoengineering-poison,1
true_solidarity,geoengineering-news,1
true_solidarity,geoengineering-monsanto,1
true_solidarity,geoengineering-gmo,3
true_solidarity,geoengineering-infowars,4
true_solidarity,geoengineering-snow,6
true_solidarity,geoengineering-snowden,1
true_solidarity,geoengineering-globalwarming,2
true_solidarity,geoengineering-weathermodification,5
true_solidarity,geoengineering-usa,1
true_solidarity,geoengineering-manmadeclouds,3
true_solidarity,geoengineering-green,1
true_solidarity,geoengineering-truth,2
true_solidarity,geoengineering-nsa,3
true_solidarity,geoengineering-revolution,2
true_solidarity,geoengineering-government,1
true_solidarity,geoengineering-lookup,1
true_solidarity,geoengineering-science,5
true_solidarity,geoengineering-tech,5
true_solidarity,geoengineering-srm,13
true_solidarity,geoengineering-solar,1
true_solidarity,geoengineering-usaf,1
true_solidarity,geoengineering-illuminati,1
true_solidarity,geoengineering-greatlakes,2
true_solidarity,climatechange-sun,2
true_solidarity,climatechange-sunset,3
true_solidarity,climatechange-geoengineering,14
true_solidarity,climatechange-haarp,14
true_solidarity,climatechange-nexrad,1
true_solidarity,climatechange-uk,3
true_solidarity,climatechange-weathermanipulation,1
true_solidarity,climatechange-weather,5
true_solidarity,climatechange-nasa,2
true_solidarity,climatechange-nwo,14
true_solidarity,climatechange-obama,2
true_solidarity,climatechange-drought,1
true_solidarity,climatechange-poison,1
true_solidarity,climatechange-news,1
true_solidarity,climatechange-monsanto,1
true_solidarity,climatechange-gmo,3
true_solidarity,climatechange-infowars,4
true_solidarity,climatechange-snow,6
true_solidarity,climatechange-fluoride,5
true_solidarity,climatechange-snowden,1
true_solidarity,climatechange-globalwarming,2
true_solidarity,climatechange-weathermodification,5
true_solidarity,climatechange-clouds,1
true_solidarity,climatechange-energy,4
true_solidarity,climatechange-usa,1
true_solidarity,climatechange-conspiracy,1
true_solidarity,climatechange-manmadeclouds,3
true_solidarity,climatechange-green,1
true_solidarity,climatechange-truth,2
true_solidarity,climatechange-nsa,3
true_solidarity,climatechange-revolution,2
true_solidarity,climatechange-government,1
true_solidarity,climatechange-fracking,4
true_solidarity,climatechange-lookup,1
true_solidarity,climatechange-science,5
true_solidarity,climatechange-tech,5
true_solidarity,climatechange-srm,13
true_solidarity,climatechange-solar,1
true_solidarity,climatechange-contrails,9
true_solidarity,climatechange-usaf,1
true_solidarity,climatechange-illuminati,1
true_solidarity,climatechange-greatlakes,2
true_solidarity,climatechange-depopulation,1
true_solidarity,climatechange-fukushima,1
true_solidarity,haarp-sun,2
true_solidarity,haarp-sunset,3
true_solidarity,haarp-nexrad,1
true_solidarity,haarp-uk,3
true_solidarity,haarp-weathermanipulation,1
true_solidarity,haarp-weather,5
true_solidarity,haarp-nasa,2
true_solidarity,haarp-nwo,15
true_solidarity,haarp-obama,2
true_solidarity,haarp-poison,1
true_solidarity,haarp-news,1
true_solidarity,haarp-monsanto,1
true_solidarity,haarp-infowars,4
true_solidarity,haarp-snow,6
true_solidarity,haarp-snowden,1
true_solidarity,haarp-weathermodification,5
true_solidarity,haarp-usa,1
true_solidarity,haarp-manmadeclouds,3
true_solidarity,haarp-truth,2
true_solidarity,haarp-nsa,3
true_solidarity,haarp-revolution,2
true_solidarity,haarp-lookup,1
true_solidarity,haarp-science,5
true_solidarity,haarp-tech,5
true_solidarity,haarp-srm,13
true_solidarity,haarp-solar,1
true_solidarity,haarp-usaf,1
true_solidarity,haarp-illuminati,1
true_solidarity,nexrad-sun,1
true_solidarity,nexrad-sunset,1
true_solidarity,nexrad-uk,1
true_solidarity,nexrad-weathermanipulation,1
true_solidarity,nexrad-weather,1
true_solidarity,nexrad-nwo,1
true_solidarity,nexrad-obama,1
true_solidarity,nexrad-poison,1
true_solidarity,nexrad-snow,1
true_solidarity,nexrad-snowden,1
true_solidarity,nexrad-weathermodification,1
true_solidarity,nexrad-usa,1
true_solidarity,nexrad-truth,1
true_solidarity,nexrad-nsa,1
true_solidarity,nexrad-revolution,1
true_solidarity,nexrad-science,1
true_solidarity,nexrad-tech,1
true_solidarity,nexrad-srm,1
true_solidarity,nexrad-solar,1
true_solidarity,nexrad-usaf,1
true_solidarity,uk-weathermanipulation,1
true_solidarity,uk-weather,3
true_solidarity,uk-weathermodification,3
true_solidarity,uk-usa,1
true_solidarity,uk-usaf,1
true_solidarity,weathermanipulation-weathermodification,1
true_solidarity,agenda21-chemtrails,9
true_solidarity,agenda21-sun,2
true_solidarity,agenda21-sunset,3
true_solidarity,agenda21-geoengineering,9
true_solidarity,agenda21-climatechange,9
true_solidarity,agenda21-haarp,9
true_solidarity,agenda21-nexrad,1
true_solidarity,agenda21-uk,3
true_solidarity,agenda21-weathermanipulation,1
true_solidarity,agenda21-weather,5
true_solidarity,agenda21-nasa,2
true_solidarity,agenda21-nwo,9
true_solidarity,agenda21-obama,2
true_solidarity,agenda21-bilderberg,2
true_solidarity,agenda21-drought,1
true_solidarity,agenda21-poison,1
true_solidarity,agenda21-news,1
true_solidarity,agenda21-monsanto,1
true_solidarity,agenda21-gmo,3
true_solidarity,agenda21-infowars,4
true_solidarity,agenda21-snow,6
true_solidarity,agenda21-aspartame,5
true_solidarity,agenda21-fluoride,5
