users;pair;weight
manomachine;geoengineering-srm;72
manomachine;geoengineering-nwo;6
manomachine;geoengineering-otb;1
manomachine;geoengineering-haarp;18
manomachine;geoengineering-globalwarming;1
manomachine;geoengineering-morgellons;1
manomachine;geoengineering-nexrad;15
manomachine;geoengineering-weather;9
manomachine;geoengineering-obama;1
manomachine;geoengineering-monsanto;2
manomachine;geoengineering-health;1
manomachine;geoengineering-lookup;10
manomachine;geoengineering-snowden;1
manomachine;geoengineering-pollution;1
manomachine;geoengineering-uk;1
manomachine;geoengineering-gmo;3
manomachine;geoengineering-science;1
manomachine;geoengineering-vaccines;1
manomachine;geoengineering-london;1
manomachine;geoengineering-nasa;1
manomachine;geoengineering-news;1
manomachine;geoengineering-snow;1
manomachine;geoengineering-weathermodification;1
manomachine;geoengineering-un;1
manomachine;srm-weather;9
manomachine;srm-uk;1
manomachine;srm-vaccines;1
manomachine;srm-weathermodification;1
manomachine;srm-un;1
manomachine;chemtrails-geoengineering;166
manomachine;chemtrails-srm;72
manomachine;chemtrails-nwo;6
manomachine;chemtrails-england;2
manomachine;chemtrails-otb;1
manomachine;chemtrails-climate;11
manomachine;chemtrails-haarp;18
manomachine;chemtrails-fluoride;1
manomachine;chemtrails-contrails;2
manomachine;chemtrails-globalwarming;1
manomachine;chemtrails-morgellons;1
manomachine;chemtrails-nexrad;15
manomachine;chemtrails-weather;9
manomachine;chemtrails-obama;1
manomachine;chemtrails-monsanto;2
manomachine;chemtrails-health;1
manomachine;chemtrails-depopulation;1
manomachine;chemtrails-lookup;10
manomachine;chemtrails-climatechange;5
manomachine;chemtrails-cia;4
manomachine;chemtrails-snowden;1
manomachine;chemtrails-pollution;1
manomachine;chemtrails-uk;1
manomachine;chemtrails-gmo;3
manomachine;chemtrails-science;1
manomachine;chemtrails-fracking;1
manomachine;chemtrails-vaccines;1
manomachine;chemtrails-london;1
manomachine;chemtrails-nasa;1
manomachine;chemtrails-news;1
manomachine;chemtrails-snow;1
manomachine;chemtrails-weathermodification;1
manomachine;chemtrails-un;1
manomachine;chemtrail-geoengineering;3
manomachine;chemtrail-srm;3
manomachine;chemtrail-chemtrails;3
manomachine;chemtrail-nwo;3
manomachine;chemtrail-england;2
manomachine;chemtrail-otb;1
manomachine;chemtrail-climate;3
manomachine;chemtrail-haarp;3
manomachine;chemtrail-fluoride;1
manomachine;chemtrail-contrails;2
manomachine;chemtrail-globalwarming;1
manomachine;chemtrail-morgellons;1
manomachine;chemtrail-nexrad;3
manomachine;chemtrail-weather;3
manomachine;chemtrail-obama;1
manomachine;chemtrail-monsanto;2
manomachine;chemtrail-health;1
manomachine;chemtrail-depopulation;1
manomachine;chemtrail-lookup;3
manomachine;chemtrail-climatechange;3
manomachine;chemtrail-cia;3
